# file generated by the official demo (a structured city)


# nb housing
43
# housing:
    2 -212.500000 375.000000 1000
    3 -115.000000 300.000000 1000
    4 -320.000000 407.500000 1000
    5 -425.000000 427.500000 1000
    6 -537.500000 430.000000 1000
    8 -317.500000 255.000000 1000
    9 -410.000000 257.500000 1000
    10 -500.000000 250.000000 1000
    11 -575.000000 227.500000 1000
    12 -650.000000 187.500000 1000
    13 -715.000000 130.000000 1000
    14 57.500000 160.000000 1000
    15 92.500000 242.500000 1000
    16 102.500000 332.500000 1000
    17 80.000000 427.500000 1000
    18 17.500000 510.000000 1000
    19 -80.000000 572.500000 1000
    22 -797.500000 -312.500000 10862
    23 412.500000 -117.500000 1000
    24 545.000000 -140.000000 1000
    25 645.000000 -200.000000 1000
    26 712.500000 -285.000000 1000
    27 735.000000 -395.000000 1000
    28 727.500000 -515.000000 1000
    29 687.500000 -627.500000 1000
    30 600.000000 -695.000000 1000
    31 515.000000 -717.500000 1000
    32 400.000000 -717.500000 1000
    33 315.000000 -702.500000 1000
    34 240.000000 -667.500000 1000
    35 197.500000 -590.000000 1000
    39 235.000000 535.000000 1000
    40 250.000000 445.000000 1000
    41 375.000000 452.500000 1000
    42 395.000000 532.500000 1000
    43 177.500000 767.500000 1000
    44 55.000000 775.000000 1000
    45 75.000000 895.000000 1000
    46 187.500000 887.500000 1000
    47 355.000000 880.000000 1000
    48 385.000000 962.500000 1000
    49 485.000000 947.500000 1000
    50 450.000000 880.000000 1000

# nb transport
6
# transport:
    1 -152.500000 67.500000 31377
    20 437.500000 -425.000000 31698
    36 632.500000 697.500000 19117
    38 332.500000 690.000000 5890
    51 -840.000000 480.000000 4875
    7 -870.000000 -22.500000 1000

# nb production
2
# production:
    21 -527.500000 -657.500000 62733
    37 882.500000 865.000000 3167

# nb link
54
    1 3
    1 8
    1 14
    1 20
    1 21
    2 3
    2 4
    4 5
    5 6
    6 51
    8 9
    9 10
    10 11
    11 12
    12 13
    13 51
    14 15
    15 16
    16 17
    17 18
    18 19
    19 51
    20 21
    20 26
    20 36
    21 22
    7 22
    23 24
    24 25
    25 26
    26 27
    27 28
    28 29
    29 30
    30 31
    31 32
    32 33
    33 34
    34 35
    36 37
    36 38
    38 39
    38 43
    38 47
    39 40
    40 41
    41 42
    43 46
    44 45
    45 46
    47 48
    48 49
    49 50
    7 51
