# file generated by the official demo, the city on the moodle page


# nb housing
11
# housing:
    4 -859.823699 819.559926 1000
    5 697.498209 805.366038 1000
    8 -130.845362 -704.665542 40009
    9 -807.748792 100.061830 1000
    10 -769.888793 -65.610554 5448
    11 -684.669124 -269.177318 12342
    12 -481.154366 -482.184669 24043
    13 579.202975 100.061830 1000
    14 498.698398 -46.696373 4449
    15 370.903638 -250.230128 12100
    16 172.103972 -477.464376 20911

# nb transport
3
# transport:
    2 -481.154366 615.993161 15891
    3 304.613969 615.993161 20022
    7 626.493447 256.260618 1000

# nb production
2
# production:
    1 -97.700455 -51.416666 83552
    6 -826.678792 279.928101 1000

# nb link
17
    1 2
    1 3
    2 3
    2 4
    3 5
    4 6
    5 7
    6 9
    7 13
    8 12
    8 16
    9 10
    10 11
    11 12
    13 14
    14 15
    15 16

