# file generated by the official demo, the one in the donnee


# nb housing
7
# housing:
    3 -358.074698 511.882642 4009
    5 -263.424701 327.263068 4029
    6 -391.219461 -56.169968 4552
    7 -164.004860 180.504865 3073
    9 15.864807 189.978461 3243
    10 167.374145 114.255718 3044
    11 191.019237 -51.416666 5659

# nb transport
2
# transport:
    4 -419.579789 185.258168 4169
    8 -55.125364 -46.696373 17251

# nb production
2
# production:
    1 -698.884032 29.059380 25407
    2 -594.734363 341.456956 9833

# nb link
14
    1 4
    1 2
    1 6
    2 3
    2 4
    4 5
    4 6
    4 7
    4 8
    6 7
    7 8
    8 9
    8 10
    8 11

